Iteration,SampleCount,P_APASTRON,P_APASTRON_Weight
56,48,0.17019067829787232,47
55,152,0.5529060043708854,143
54,70,0.5073472863506278,55
53,38,0.518069227260377,30
52,25,0.5352481799099561,22
51,116,0.4979473778472683,113
50,86,0.7311265994139001,74
49,134,0.41016967092168743,126
48,145,0.43008334640199547,129
47,222,0.4482577338530057,202
46,164,0.46901869770020255,151
45,56,0.4926978346208899,36
44,1206,0.44368495015774495,1201
43,153,0.45136137784652514,11
42,612,,
41,67,0.5070525987698241,4
40,1,,
39,3,,
38,1,,
37,7,0.3900206994141116,5
36,28,,
35,3,,
34,12,,
33,15,0.5052146622166974,14
32,14,0.4044276603789584,10
31,55,0.38832714370058924,26
30,6,0.4435108079223497,5
29,5,,
28,8,0.440484208938964,4
27,13,,
26,6,,
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
