Iteration,SampleCount,P_ECCENTRICITY,P_ECCENTRICITY_Weight
56,56,0.12398894678705093,55
55,148,0.10612149681740768,144
54,65,0.09770843235423925,43
53,40,0.11461137588596487,14
52,25,0.0728430945768245,8
51,121,0.0834952611444835,80
50,78,0.10142746779519216,62
49,131,0.11326005440717656,118
48,157,0.10367342256787591,113
47,213,0.08925731552360333,146
46,180,0.10455883914637144,40
45,45,0.12587576203274253,8
44,1344,0.08600112402850799,2
43,12,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.037276816477279,1
37,7,0.1079742469122991,4
36,28,,
35,3,,
34,12,,
33,16,0.09162363322896072,15
32,13,0.033756280826286664,4
31,51,0.059820119884857144,22
30,9,0.18178088461044328,3
29,10,0.05533628437849895,3
28,4,0.00978533711693097,1
27,13,0.07477262095008935,8
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
