Iteration,SampleCount,P_ESCAPE,P_ESCAPE_Weight
56,52,2.3967859423529414,51
55,141,1.7144436258668732,136
54,80,1.7856636558560195,58
53,36,1.943036941934588,31
52,24,1.977775073902451,22
51,114,1.9458738541533718,111
50,95,1.5809163716542212,23
49,143,3.463402483522259,3
48,149,2.1898519058755177,14
47,215,,
46,171,9.270533413432435,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,,
34,13,2.939342801277711,4
33,16,0.3334918187277527,1
32,12,2.0707939081801747,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
