Iteration,SampleCount,P_GRAVITY,P_GRAVITY_Weight
56,54,2.167539509207547,53
55,144,1.5590337760564976,141
54,72,1.2126739548697,55
53,39,1.05479088114323,31
52,23,4.356020566794903,21
51,118,2.1864891425410242,114
50,90,2.084700857449284,21
49,145,1.8155206876214995,3
48,149,1.6721990597490501,14
47,215,,
46,171,62.267109871088294,1
45,41,,
44,1343,,
43,11,,
42,675,,
41,4,,
40,1,,
39,1,,
38,3,1.5480687461540723,1
37,6,,
36,25,11.504857433396179,24
35,7,,
34,13,2.1585107403827655,4
33,16,1.55426935264833,1
32,12,2.074679900832081,7
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
