Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,52,,
55,147,0.17722537313432835,134
54,73,0.10273658536585366,41
53,35,0.11060624999999999,16
52,28,0.10558333333333332,12
51,121,0.2692424242424242,33
50,86,0.2717777777777778,9
49,141,0.140028,25
48,149,0.17196923076923076,26
47,208,0.18780526315789475,57
46,162,0.1776904761904762,105
45,56,0.18928461538461538,13
44,1344,0.07999999999999999,2
43,9,0.2116,5
42,607,0.30357247097844114,603
41,75,,
40,1,,
39,3,,
38,1,,
37,7,0.124,1
36,28,,
35,3,,
34,13,,
33,16,0.011999999999999999,1
32,12,0.38699999999999996,1
31,56,,
30,5,,
29,9,0.2695,6
28,4,0.555,2
27,13,0.095,2
26,6,,
25,64,0.3260769230769231,13
24,3,,
23,3,,
19,1,,
16,1,,
