Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,54,417.25053193307696,52
55,141,60.90547392678832,137
54,81,6.599539518333333,60
53,32,4.187440710344836,29
52,26,35.61291781363635,22
51,120,24.673286188034183,117
50,84,124.13827627894736,76
49,129,43.74970055268294,123
48,152,29.72484186158647,133
47,215,29.296666066683425,199
46,167,29.051684007278148,151
45,57,8.561851743243219,37
44,1208,14.872735533185216,1204
43,150,3.0585467363636356,11
42,611,,
41,68,23.142640999999998,4
40,1,,
39,2,,
38,1,,
37,8,1.0819283428571445,7
36,23,,
35,7,6.356554999999901,2
34,12,0.4381281000000032,11
33,15,17.36475746153848,13
32,15,1.3730566291666768,12
31,51,,
30,9,16.394223525000044,4
29,8,38.24239290000001,7
28,5,87.76305466666649,3
27,14,26.08091587769229,13
26,4,,
25,60,12.236159767068973,58
24,9,,
23,3,,
19,1,,
16,1,,
