Iteration,SampleCount,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_Weight
56,51,0.09339478031105744,49
55,150,0.009839835444068312,143
54,75,0.004176716548701138,56
53,33,0.004044235353611304,28
52,23,0.0016494237772791236,18
51,130,0.01701764486874767,13
50,74,32847786.35429885,56
49,133,0.7252073015556533,122
48,153,0.9897923398807523,120
47,210,20.70390875199316,178
46,176,79.78062993293429,152
45,53,32.46730171427292,27
44,1338,1.9310044773257065,42
43,16,,
42,611,8.885898897034638,609
41,69,,
40,1,,
39,2,,
38,2,10.19012054219527,1
37,7,8.627128624443769,5
36,28,,
35,3,,
34,12,3.385950060219431,8
33,14,2.6442583272135822,13
32,14,5.3960743996878,2
31,54,2.3249486912278994,24
30,8,5.894788442047458,5
29,6,8.892683838856827,5
28,6,7.0792609529936845,3
27,13,6.485607541284818,6
26,6,9.826430324176684,5
25,63,5.609398329671333,43
24,5,,
23,3,,
19,1,,
16,1,,
