Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,48,,
55,148,6.714414351163426e-08,140
54,79,3.746386273064818e-08,61
53,34,1.5243627579913238e-06,32
52,25,7.871202911615612e-06,24
51,110,0.010508761921657776,109
50,92,0.34064963031966955,76
49,125,0.36690132558232175,119
48,151,0.40735024546090587,128
47,223,0.38658566169183856,202
46,169,0.432811445656242,156
45,50,0.39942519093195206,35
44,1212,0.24303528112332515,1206
43,146,0.2573909060848107,9
42,613,0.2550065011517095,611
41,68,0.3901001149656629,4
40,1,,
39,3,,
38,1,,
37,7,0.03408472237461846,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.4099614626708244,2
31,55,0.25034595197126447,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
