Iteration,SampleCount,S_LOG_G,S_LOG_G_Weight
56,55,0.2104374592492974,53
55,142,0.10299383037840863,138
54,77,0.12542025998143852,57
53,35,0.16083531381311597,22
52,27,0.17091231303502236,19
51,117,0.10396653264376815,104
50,85,0.1405603490605317,70
49,135,0.17332117434700642,103
48,149,0.1485993424675985,118
47,212,0.10674076444310239,185
46,175,0.0914229915997348,119
45,48,0.09099160430802779,23
44,1206,0.08197990627893703,1192
43,152,0.15149054104222456,3
42,608,0.08154095024675526,607
41,72,,
40,1,,
39,3,,
38,1,,
37,7,0.07128045572706299,3
36,26,,
35,5,0.3347288202905032,2
34,13,,
33,16,0.7499337654029681,2
32,12,0.137623039695705,1
31,55,0.05873509623844523,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
