Iteration,SampleCount,S_MAG,S_MAG_Weight
56,54,2.225956172579881,50
55,147,1.2313214286779235,137
54,72,1.3137657904225402,45
53,37,1.0285570349150723,24
52,25,1.3299170544455103,13
51,120,1.132354031217426,118
50,79,1.9774309761666562,60
49,140,1.8051132657585733,130
48,149,1.6489981036248778,134
47,198,1.5571758505658102,184
46,186,1.6801277250047457,157
45,52,1.637802086559793,37
44,1208,0.94111229591172,1205
43,149,1.0659804254296124,11
42,604,,
41,75,4.163265117944718,4
40,1,,
39,3,,
38,1,,
37,7,,
36,23,,
35,8,3.898781679999731,3
34,11,,
33,18,1.483984402277677,15
32,11,,
31,50,0.9583257721267271,47
30,12,2.422922795385632,4
29,8,,
28,4,0.2452609323535775,1
27,13,1.2967377471546286,7
26,7,1.3349416513747183,1
25,65,2.0300845630206736,17
24,2,,
23,3,,
19,1,,
16,1,,
