Iteration,SampleCount,S_TEMPERATURE,S_TEMPERATURE_Weight
56,50,294.12786852518957,48
55,152,149.94306800321044,144
54,65,129.69941348134262,51
53,44,195.62493122126338,32
52,24,168.04621390472093,23
51,114,160.02542889339418,112
50,82,116.87695685467237,69
49,141,142.8795100723739,128
48,149,185.08700577435758,135
47,200,131.38747298594402,186
46,184,153.21238573149645,155
45,53,174.49786265664497,37
44,1217,116.52006941587666,1213
43,141,89.57225475878418,11
42,615,,
41,63,82.81929362436192,3
40,2,,
39,3,,
38,1,,
37,6,212.96136066894815,1
36,27,185.18954447818274,26
35,5,7.300420669793766,1
34,12,213.21390956516493,3
33,16,103.47102733309525,10
32,13,41.17246597876749,4
31,51,167.55277805284965,39
30,10,,
29,9,,
28,4,,
27,13,23.91540069403436,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
